path,valence,arousal,dominance
audio\audio_train\0_happiness.wav,0.81,0.51,0.46
audio\audio_train\1_disgust.wav,-0.6,0.35,0.11
audio\audio_train\2_fear.wav,-0.64,0.6,-0.43
audio\audio_train\3_disgust.wav,-0.6,0.35,0.11
audio\audio_train\5_disgust.wav,-0.6,0.35,0.11
audio\audio_train\6_happiness.wav,0.81,0.51,0.46
audio\audio_train\7_fear.wav,-0.64,0.6,-0.43
audio\audio_train\8_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\9_happiness.wav,0.81,0.51,0.46
audio\audio_train\10_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\11_happiness.wav,0.81,0.51,0.46
audio\audio_train\12_happiness.wav,0.81,0.51,0.46
audio\audio_train\13_surprise.wav,0.4,0.67,-0.13
audio\audio_train\14_anger.wav,-0.51,0.59,0.25
audio\audio_train\15_disgust.wav,-0.6,0.35,0.11
audio\audio_train\16_surprise.wav,0.4,0.67,-0.13
audio\audio_train\17_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\18_neutral.wav,0.0,0.0,0.0
audio\audio_train\19_anger.wav,-0.51,0.59,0.25
audio\audio_train\20_fear.wav,-0.64,0.6,-0.43
audio\audio_train\21_anger.wav,-0.51,0.59,0.25
audio\audio_train\22_neutral.wav,0.0,0.0,0.0
audio\audio_train\23_happiness.wav,0.81,0.51,0.46
audio\audio_train\24_anger.wav,-0.51,0.59,0.25
audio\audio_train\25_fear.wav,-0.64,0.6,-0.43
audio\audio_train\26_anger.wav,-0.51,0.59,0.25
audio\audio_train\27_happiness.wav,0.81,0.51,0.46
audio\audio_train\28_disgust.wav,-0.6,0.35,0.11
audio\audio_train\29_happiness.wav,0.81,0.51,0.46
audio\audio_train\30_disgust.wav,-0.6,0.35,0.11
audio\audio_train\31_fear.wav,-0.64,0.6,-0.43
audio\audio_train\32_anger.wav,-0.51,0.59,0.25
audio\audio_train\33_anxiety.wav,-0.35,0.55,-0.45
audio\audio_train\34_anger.wav,-0.51,0.59,0.25
audio\audio_train\35_neutral.wav,0.0,0.0,0.0
audio\audio_train\36_neutral.wav,0.0,0.0,0.0
audio\audio_train\37_fear.wav,-0.64,0.6,-0.43
audio\audio_train\38_surprise.wav,0.4,0.67,-0.13
audio\audio_train\39_happiness.wav,0.81,0.51,0.46
audio\audio_train\40_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\41_fear.wav,-0.64,0.6,-0.43
audio\audio_train\42_happiness.wav,0.81,0.51,0.46
audio\audio_train\43_anger.wav,-0.51,0.59,0.25
audio\audio_train\44_surprise.wav,0.4,0.67,-0.13
audio\audio_train\45_surprise.wav,0.4,0.67,-0.13
audio\audio_train\46_anger.wav,-0.51,0.59,0.25
audio\audio_train\47_happiness.wav,0.81,0.51,0.46
audio\audio_train\48_disgust.wav,-0.6,0.35,0.11
audio\audio_train\49_anger.wav,-0.51,0.59,0.25
audio\audio_train\50_surprise.wav,0.4,0.67,-0.13
audio\audio_train\51_anger.wav,-0.51,0.59,0.25
audio\audio_train\52_neutral.wav,0.0,0.0,0.0
audio\audio_train\53_anger.wav,-0.51,0.59,0.25
audio\audio_train\54_fear.wav,-0.64,0.6,-0.43
audio\audio_train\55_surprise.wav,0.4,0.67,-0.13
audio\audio_train\56_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\57_neutral.wav,0.0,0.0,0.0
audio\audio_train\58_surprise.wav,0.4,0.67,-0.13
audio\audio_train\59_neutral.wav,0.0,0.0,0.0
audio\audio_train\60_happiness.wav,0.81,0.51,0.46
audio\audio_train\61_fear.wav,-0.64,0.6,-0.43
audio\audio_train\62_disgust.wav,-0.6,0.35,0.11
audio\audio_train\63_neutral.wav,0.0,0.0,0.0
audio\audio_train\64_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\65_happiness.wav,0.81,0.51,0.46
audio\audio_train\67_neutral.wav,0.0,0.0,0.0
audio\audio_train\68_neutral.wav,0.0,0.0,0.0
audio\audio_train\69_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\70_disgust.wav,-0.6,0.35,0.11
audio\audio_train\71_neutral.wav,0.0,0.0,0.0
audio\audio_train\73_neutral.wav,0.0,0.0,0.0
audio\audio_train\74_fear.wav,-0.64,0.6,-0.43
audio\audio_train\75_neutral.wav,0.0,0.0,0.0
audio\audio_train\76_sadness.wav,-0.63,-0.27,-0.33
audio\audio_train\77_fear.wav,-0.64,0.6,-0.43
audio\audio_train\78_fear.wav,-0.64,0.6,-0.43
audio\audio_train\79_anger.wav,-0.51,0.59,0.25
